I-120,1.60E-10,3.50E-10,1.16E-03,8.00E-04,1.60E-02
I-120m,8.90E-11,2.10E-10,1.11E-03,8.00E-04,1.60E-02
I-121,4.80E-11,8.70E-11,7.70E-08,4.00E-04,1.60E-02
I-122,0.00E+00,0.00E+00,2.84E-07,8.00E-04,1.60E-02
I-123,1.30E-10,2.30E-10,4.30E-08,4.00E-04,1.60E-02
I-124,8.60E-09,1.40E-08,1.70E-07,3.00E-04,1.60E-02
I-125,1.10E-08,1.70E-08,3.30E-08,4.00E-06,1.60E-02
I-126,2.00E-08,3.20E-08,7.80E-08,7.00E-04,1.60E-02
I-128,1.60E-11,4.60E-11,1.60E-08,1.00E-03,1.60E-02
I-129,7.80E-08,1.20E-07,1.60E-08,1.00E-04,1.60E-02
I-130,1.10E-09,2.10E-09,3.25E-07,1.00E-03,1.60E-02
I-131,1.50E-08,2.40E-08,6.20E-08,1.00E-03,1.60E-02
I-132,1.20E-10,2.30E-10,5.50E-08,3.00E-04,1.60E-02
I-132,1.40E-10,2.90E-10,3.38E-07,1.00E-03,1.60E-02
I-133,2.60E-09,4.70E-09,9.30E-08,1.00E-03,1.60E-02
I-134,4.40E-11,1.10E-10,3.85E-07,1.00E-03,1.60E-02
I-135,5.00E-10,9.90E-10,2.23E-07,1.00E-03,1.60E-02
In-109,2.80E-11,6.40E-11,1.17E-07,3.00E-04,1.60E-02
In-110,7.80E-11,2.30E-10,4.68E-07,6.00E-05,1.60E-02
In-110m,3.60E-11,8.50E-11,2.38E-07,7.00E-04,1.60E-02
In-111,2.30E-10,3.70E-10,8.20E-08,4.00E-04,1.60E-02
In-112,2.70E-12,9.90E-12,4.70E-08,9.00E-04,1.60E-02
In-113m,1.00E-11,2.30E-11,4.70E-08,5.00E-04,1.60E-02
In-114,1.90E-08,6.00E-09,2.30E-08,3.00E-03,1.60E-02
In-114m,1.90E-08,6.00E-09,2.30E-08,3.00E-03,1.60E-02
In-115,7.60E-07,3.30E-08,1.00E-09,1.00E-03,1.60E-02
In-115m,3.20E-11,8.70E-11,3.30E-08,9.00E-04,1.60E-02
In-116m,2.00E-11,5.60E-11,3.56E-07,1.00E-03,1.60E-02
In-117,1.00E-11,2.80E-11,1.09E-07,2.00E-03,1.60E-02
In-117m,4.30E-11,9.90E-11,1.90E-08,1.00E-03,1.60E-02
In-119,1.30E-11,4.50E-11,3.30E-08,1.00E-03,1.60E-02
In-119m,1.30E-11,4.50E-11,3.30E-08,1.00E-03,1.60E-02
Ir-182,1.40E-11,4.90E-11,5.84E-07,1.00E-03,1.60E-02
Ir-184,5.60E-11,1.60E-10,2.96E-07,1.00E-03,1.60E-02
Ir-185,1.50E-10,2.90E-10,9.10E-08,3.00E-04,1.60E-02
Ir-186m1,0,0,1.52E-07,9.00E-04,1.60E-02
Ir-186m2,2.40E-10,5.30E-10,2.43E-07,1.00E-03,1.60E-02
Ir-187,5.40E-11,1.30E-10,5.90E-08,1.00E-04,1.60E-02
Ir-188,4.20E-10,7.40E-10,2.23E-07,5.00E-04,1.60E-02
Ir-189,4.90E-10,3.70E-10,1.60E-08,5.00E-05,1.60E-02
Ir-190,1.80E-09,1.60E-09,2.28E-07,8.00E-04,1.60E-02
Ir-190m1,0,0,2.47E-07,9.00E-04,1.60E-02
Ir-190m2,8.60E-12,8.90E-12,1.00E-09,5.00E-06,1.60E-02
Ir-192,7.80E-09,1.90E-09,1.31E-07,2.00E-03,1.60E-02
Ir-192m1,1.00E-07,3.30E-10,2.50E-08,2.00E-06,1.60E-02
Ir-192m2,1.00E-07,3.30E-10,2.50E-08,2.00E-06,1.60E-02
Ir-193m,5.30E-10,4.60E-10,1.00E-09,1.00E-06,1.60E-02
Ir-194,8.50E-10,1.70E-09,1.70E-08,1.00E-03,1.60E-02
Ir-194m,1.80E-08,2.70E-09,3.67E-07,1.00E-03,1.60E-02
Ir-195,3.50E-11,8.20E-11,1.20E-08,1.00E-03,1.60E-02
Ir-195m,6.20E-11,1.60E-10,7.30E-08,2.00E-03,1.60E-02
K-38,0.00E+00,0.00E+00,4.80E-07,1.00E-03,1.60E-02
K-42,3.80E-10,4.00E-10,4.64E-07,1.00E-03,1.60E-02
K-43,1.90E-10,2.30E-10,1.52E-07,1.00E-03,1.60E-02
K-44,2.60E-11,8.40E-11,1.55E-03,1.00E-03,1.60E-02
K-45,1.60E-11,5.40E-11,3.02E-07,1.00E-03,1.60E-02
Kr-79,0.00E+00,0.00E+00,4.20E-08,1.00E-04,1.60E-02
Kr-81,0.00E+00,0.00E+00,4.00E-09,8.00E-06,1.60E-02
Kr-83m,0.00E+00,0.00E+00,2.00E-09,3.00E-06,1.60E-02
Kr-85,0.00E+00,0.00E+00,1.00E-09,1.00E-03,1.60E-02
Kr-85m,0.00E+00,0.00E+00,2.60E-08,1.00E-03,1.60E-02
Kr-87,0.00E+00,0.00E+00,5.01E-07,1.00E-03,1.60E-02
Kr-88,0.00E+00,0.00E+00,2.64E-07,1.00E-03,1.60E-02
